Countries,Referred,Accepted,Rejected,Abandoned,Withdrawn & Other,Total,Pending (as of 2013/12/31),Referred_Sheet2,Accepted_Sheet2,Rejected_Sheet2,Abandoned_Sheet2,Withdrawn & Other_Sheet2,Total_Sheet2,Pending (as of 2014/12/31),Referred_Sheet3,Accepted_Sheet3,Rejected_Sheet3,Abandoned_Sheet3,Withdrawn & Other_Sheet3,Total_Sheet3,Pending (as of 2015/12/31),Referred_Sheet4,Accepted_Sheet4,Rejected_Sheet4,Abandoned_Sheet4,Withdrawn & Other_Sheet4,Total_Sheet4,...8,Referred_Sheet5,Accepted_Sheet5,Rejected_Sheet5,Abandoned_Sheet5,Withdrawn & Other_Sheet5,Total_Sheet5,...8_Sheet5,Referred_Sheet6,Accepted_Sheet6,Rejected_Sheet6,Abandoned_Sheet6,Withdrawn & Other_Sheet6,Total_Sheet6,...8_Sheet6,Referred_Sheet7,Accepted_Sheet7,Rejected_Sheet7,Abandoned_Sheet7,Withdrawn & Other_Sheet7,Total_Sheet7,Pending (as of 2019/12/31)​,Referred_Sheet8,Accepted_Sheet8,Rejected_Sheet8,Abandoned_Sheet8,Withdrawn & Other_Sheet8,Total_Sheet8,Pending (as of 2020/12​/31​)​,Referred_Sheet9,Accepted_Sheet9,Rejected_Sheet9,Abandoned_Sheet9,Withdrawn & Other_Sheet9,Total_Sheet9,Pending (as of 2021/12​/31​)​,Referred_Sheet10,Accepted_Sheet10,Rejected_Sheet10,Abandoned_Sheet10,Withdrawn & Other_Sheet10,Total_Sheet10,Pending (as of 2022/12​/31​)​,Referred_Sheet11,Accepted_Sheet11,Rejected_Sheet11,Abandoned_Sheet11,Withdrawn and Other,Total_Sheet11,Pending (as of 2023/12​/31​)​
Afghanistan,373,183,24,--,--,232,149,438,308,54,--,--,383,199,475,297,42,--,--,358,313,623,465,84,--,--,569,367,650,394,37,--,--,458,555,552,432,49,--,--,501,603,464,521,47,--,--,587,481,220,258,--,--,--,295,402,416,439,22,--,--,484,332,769,616,25,--,--,665,428,3382,928,--,--,28,972,2836
Albania,126,28,42,--,--,77,54,119,50,45,--,--,100,73,153,33,40,--,--,80,146,166,74,68,--,--,149,163,156,67,62,--,--,144,175,153,57,61,--,--,127,201,207,65,--,--,--,107,299,74,​39,39,--,--,83,293,78,107,48,--,--,166,204,112,96,35,--,--,151,162,154,65,--,--,--,105,209
Algeria,108,31,31,--,--,65,43,76,28,55,--,--,88,31,59,--,36,--,--,69,21,110,24,32,--,--,61,70,193,43,30,--,--,79,181,425,66,21,--,--,94,512,586,68,70,--,--,165,933,194,166,87,--,--,272,850,253,344,143,--,--,541,567,313,281,113,--,--,442,438,789,135,52,--,--,214,1011
Antigua and Barbuda,--,--,--,--,--,--,--,--,--,--,--,--,21,--,--,--,--,--,--,--,--,29,--,--,--,--,24,--,37,--,--,--,--,22,28,--,--,--,--,--,--,29,22,--,--,--,--,--,39,--,--,--,--,--,--,26,--,--,--,--,--,--,32,--,--,--,--,--,--,25,--,--,--,--,--,--,--
Argentina,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,24,--,--,--,--,--,22,--,--,--,--,--,--,24,29,--,--,--,--,--,40,--,--,--,--,--,--,48,26,--,20,--,--,32,42,24,--,22,--,--,29,37,60,--,20,--,--,24,71
Armenia,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Azerbaijan,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,212,60,--,--,--,69,159,420,136,59,--,--,211,369,163,129,--,--,--,217,316,103,130,42,--,--,186,232,​22,106,--,--,--,117,137,32,118,--,--,--,128,41,73,36,--,--,--,42,72,231,49,--,--,--,53,250
Bahamas,--,--,--,--,--,--,--,28,--,--,--,--,--,--,71,--,--,--,--,38,50,101,45,38,--,--,86,64,176,69,​--,--,--,95,145,212,37,33,--,--,90,265,307,99,63,--,--,179,393,294,44,--,--,22,77,609​,136,230,72,--,--,340,404,638,256,98,--,--,407,637,578,358,86,--,--,510,705
Bahrain,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Bangladesh,153,27,--,--,--,54,100,330,196,80,--,--,280,150,231,133,64,--,--,208,173,286,133,66,--,--,208,245,467,142,51,--,--,213,492,819,131,--,--,47,270,1024,854,255,148,--,--,434,1423,252,159,87,--,--,271,1403,327,589,200,--,--,809,928,725,493,190,--,--,711,935,2400,607,132,--,--,776,2560
